CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
13.545.391/0001-71;DIJON CONSULTORIA LTDA.;-----;2021-05-31;;;EM FUNCIONAMENTO NORMAL;2021-05-31;PRIVADO;SEDE;RUA GENERAL JARDIM, 808/13º ANDAR;PARTE;VILA BUARQUE;SÃO PAULO;SP;1223010;11;31232400;contato@dijoninvestimentos.com.br;https://dijoninvestimentos.com.br/
33.947.641/0001-07;DINANT CONSULTORIA DE INVESTIMENTOS LTDA.;DINANT INVESTIMENTOS;2020-11-06;2020-12-24;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-24;PRIVADO;SEDE;AV. DO CONTORNO, 5351/SL 1203 E 1204;;CRUZEIRO;BELO HORIZONTE;MG;30110923;31;983011898;rodrigo@dinant.com.br;www.dinant.com.br
13.831.885/0001-12;DIRETO AOS PONTOS CONSULTORIA E TREINAMENTO LTDA;DIRETO AOS PONTOS;2011-07-18;2018-06-19;CANCELAMENTO A PEDIDO;CANCELADA;2018-06-19;PRIVADO;SEDE;RUA CONSTANTE RAMOS, 93;APTO 1302;COPACABANA;RIO DE JANEIRO;RJ;22051011;21;22563000;diretoaospontos@gmail.com;www.diretoaospontos.com.br
11.748.236/0001-27;DMF ADVISERS CONSULTORIA FINANCEIRA LTDA;DMF ADVISERS CONSULTORIA FINANCEIRA LTDA;2011-10-11;2018-02-26;CANCELAMENTO A PEDIDO;CANCELADA;2018-02-26;PRIVADO;;;;;;;;;;dudamisson@hotmail.com;
03.488.526/0001-50;DOJI STAR GRAPHICS LTDA;DOJI STAR FOUR GRAFICOS LTDA;2004-06-16;2018-12-27;CANCELAMENTO A PEDIDO;CANCELADA;2018-12-27;PRIVADO;SEDE;AV. RIO BRANCO, 257/507;;CENTRO;RIO DE JANEIRO;RJ;20040009;21;24863033;dojistar@dojistar.com.br;
48.110.607/0001-50;DOT CONSULTORIA E FINANCAS LTDA;DOT CONSULTORIA FINANCEIRA;2023-01-24;;;EM FUNCIONAMENTO NORMAL;2023-01-09;;SEDE;Rua Lopes da Cunha 145;Bloco 1, Apt 601;Fonseca;NITERÓI;RJ;24120095;21;996643515;eudandootroco@gmail.com;
11.103.370/0001-70;DX CONSULTORIA E DESENVOLVIMENTO DE CURSOS GERENCIAIS LTDA;DX INVESTIMENTOS CONSULTORIA;2013-12-20;2016-09-21;CANCELAMENTO A PEDIDO;CANCELADA;2016-09-21;PRIVADO;SEDE;SHS QUADRA 6 - CONJ A - BL A;SL 312;ASA SUL;BRASÍLIA;DF;70316102;61;30447780;ivensfilho@hotmail.com;
72.116.353/0001-62;DYNAMO ADMINISTRAÇÃO DE RECURSOS LTDA;DYNAMO;1993-08-09;2008-03-27;CANCELAMENTO A PEDIDO;CANCELADA;2008-03-27;PRIVADO;SEDE;AV. ATAULFO DE PAIVA;1.235, 6º ANDAR;LEBLON;RIO DE JANEIRO;RJ;22440034;21;25129394;admin@dynamo.com.br;
10.997.347/0001-04;ECONOMETRICA CONSULTORIA EM INVESTIMENTOS LTDA;ECONOMETRICA CONSULTORIA EM INVESTIMENTOS;2013-12-30;2021-10-21;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2021-10-21;PRIVADO;SEDE;AV JÓQUEI CLUBE;299;JÓQUEI;TERESINA;PI;64049240;86;999816768;sarima55mm@gmail.com;
17.615.051/0001-20;ECONOPREV CONSULTORIA FINANCEIRA LTDA;ECONOPREV CONSULTORIA FINANCEIRA LTDA;2013-04-18;2015-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-29;PRIVADO;SEDE;RUA DOM PEDRO II, 637;10º ANDAR, SL.1010;CAIARI;PORTO VELHO;RO;76801151;19;36413550;contato@econoprev.com.br;www.econoprev.com.br
39.749.974/0001-08;ECTA CONSULTORIA DE INVESTIMENTOS LTDA.;ECTA INVEST;2021-05-07;;;EM FUNCIONAMENTO NORMAL;2021-05-07;PRIVADO;SEDE;AVENIDA DR. ARNALDO, 2.180;;SUMARÉ;SÃO PAULO;SP;1227200;11;953157207;anigri@maxinvest.com.br;https://maxinvestcapital.com.br/
68.482.397/0001-39;EFC ENGENHEIROS FINANCEIROS & CONSULTORES S/C LTDA;EFC ENGENHEIROS FINANCEIROS & CONSULTORES S/C LTDA;2004-01-12;2016-07-19;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-19;PRIVADO;;;;;;;;;;efc@efc.com.br;www.efc.com.br
03.813.544/0001-60;EFUTURO S/A;EFUTURO S/A;2000-08-08;2002-12-11;CANCELAMENTO A PEDIDO;CANCELADA;2002-12-11;PRIVADO;SEDE;ALAMEDA MADEIRA, 222;;;BARUERI;SP;6454010;;;;
36.325.279/0001-20;ELASTECH TECNOLOGIA DE INFORMAÇÃO S.A.;ELASBANK;2021-03-24;;;EM FUNCIONAMENTO NORMAL;2021-03-24;PRIVADO;SEDE;AV DAS NAÇÕES UNIDAS, 14401/TORRE C2 SL 1910;;VILA GERTRUDES;SÃO PAULO;SP;4794000;11;995037596;christian.zimmer@elasbank.com.br;www.elasbank.com.br
23.670.302/0001-72;ELEVA CONSULTORIA DE VALORES MOBILIÁRIOS LTDA. - EPP;ELEVA CONSULTORIA DE VALORES MOBILIÁRIOS;2016-03-01;;;EM FUNCIONAMENTO NORMAL;2016-03-01;PRIVADO;SEDE;AV BRIGADEIRO FARIA LIMA, 3729;4º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4538133;11;40375040;armando@elevainvest.com.br;
20.820.211/0001-88;ELEVEN SERVICOS DE CONSULTORIA E ANALISE S.A.;-----;2022-04-08;;;EM FUNCIONAMENTO NORMAL;2022-04-08;PRIVADO;SEDE;AV. ENG. LUIS CARLOS BERRINI;550, CONJ 32;CIDADE MONCOES;SÃO PAULO;SP;4571925;11;43023340;institucional@elevenfinancial.com;https://www.elevenfinancial.com.br
09.815.294/0001-84;EMERALD GESTÃO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA;EMERALD GESTÃO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA;2017-05-04;;;EM FUNCIONAMENTO NORMAL;2017-05-04;PRIVADO;SEDE;AVENIDA PAULISTA;2100, 18º ANDAR;BELA VISTA;SÃO PAULO;SP;1310930;11;31758627;atendimento.regulamentar@safra.com.br;
11.431.155/0001-07;EMPIRICUS RESEARCH PUBLICAÇÕES S.A.;EMPIRICUS;2011-02-18;2017-08-28;CANCELAMENTO A PEDIDO;CANCELADA;2017-08-28;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA, Nº 3.477;10º ANDAR, CJ 101;ITAIM BIBI;SÃO PAULO;SP;4538133;11;39002850;compliance@empiricus.com.br;www.empiricus.com.br
11.431.155/0001-07;EMPIRICUS RESEARCH PUBLICAÇÕES S.A.;EMPIRICUS;2021-11-04;;;EM FUNCIONAMENTO NORMAL;2021-11-04;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA, Nº 3.477;10º ANDAR, CJ 101;ITAIM BIBI;SÃO PAULO;SP;4538133;11;39002850;compliance@empiricus.com.br;
02.834.376/0001-27;ENDURO CAPITAL INVESTIMENTOS LTDA;-;2011-11-03;2011-11-03;REGISTRO INDEVIDO;CANCELADA;2011-11-03;PRIVADO;SEDE;RUA PROFESSOR ATÍLIO INNOCENTI;165 - 15º ANDAR - PARTE;ITAIM BIBI;SÃO PAULO;SP;4538000;11;31859200;regulatorio@canvascapital.com.br;
22.456.243/0001-71;ENSO CONSULTORIA DE INVESTIMENTOS LTDA;ENSO CONSULTORIA DE INVESTIMENTOS LTDA;2015-12-02;2020-03-12;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-12;PRIVADO;SEDE;JOSÉ BON. COUT. NOGUEIRA, 150;ALA OESTE SALA 503;JARDIM MADALENA;CAMPINAS;SP;13091611;19;33677006;adm@ensogp.com.br;www.ensogp.com.br
14.052.515/0001-40;EPCI CONSULTORIA LTDA;FUNDAMENTOS CONSULTORIA DE INVESTIMENTOS;2015-01-27;2020-11-26;CANCELAMENTO A PEDIDO;CANCELADA;2020-11-26;PRIVADO;SEDE;RUA ALEXANDRE RENDA;62 / APTO 203;CENTRO;OSÓRIO;RS;95520000;51;81406993;pereirapinto@gmail.com;
08.968.113/0001-97;EST GESTÃO DE PATRIMÔNIO LTDA.;--;2007-12-28;2011-05-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2011-05-24;PRIVADO;SEDE;RUA HUNGRIA, 514;CONJ. 161;JARDIM EUROPA;SÃO PAULO;SP;1455000;11;59901020;estgp@estgp.com.br;
22.074.324/0001-07;ETHOS INVESTIMENTOS LTDA;ETHOS INVESTIMENTOS;2015-06-23;;;EM FUNCIONAMENTO NORMAL;2015-06-23;PRIVADO;SEDE;RUA ELVIRA FERRAZ 250;CJ 111;VL OLIMPIA;SÃO PAULO;SP;4552040;11;26266052;rodrigo.vazquez@ethosinvestimentos.com.br;www.ethosinvestimentos.com.br
39.348.072/0001-60;ETRNTY CAPITAL CONSULTORIA DE INVESTIMENTOS LTDA.;ETRNTY;2021-04-27;;;EM FUNCIONAMENTO NORMAL;2021-04-27;PRIVADO;SEDE;RUA DAS JABUTICABEIRAS, 781;;CIDADE JARDIM;SÃO PAULO;SP;5674011;11;976113617;geraldo@etrnty.com.br;www.etrnty.com.br
48.059.044/0001-13;EVERGREEN INVESTIMENT LTDA.;EVERGREEN INVESTIMENT;2022-10-19;;;EM FUNCIONAMENTO NORMAL;2022-10-19;;SEDE;Rua Professor Stroele nº 428;Bloco 2, sala 313;Quarteirão Brasileiro;PETRÓPOLIS;RJ;25680176;24;967707525;juliocesar.1000@yahoo.com;
37.873.472/0001-69;EVOLIO CONSULTORIA DE INVESTIMENTOS LTDA.;EVOLIO;2023-03-06;;;EM FUNCIONAMENTO NORMAL;2023-03-06;;SEDE;Rua Portugal, 5;Sala 910;Comércio;SALVADOR;BA;40019503;71;999783450;dvd.barros@hotmail.com;
26.636.915/0001-81;EVOLVE CAPITAL GESTÃO DE RECURSOS LTDA.;EVOLVE CAPITAL;2017-01-10;;;EM FUNCIONAMENTO NORMAL;2017-01-10;PRIVADO;SEDE;AV LUIZ EDUARDO T PRADO, 800;SL 805;VILA DO GOLF;RIBEIRÃO PRETO;SP;14027250;16;39043799;sergio.figueiredo@evolvecapital.com.br;
04.223.372/0001-38;EXECUTIVE ASSESSORIA E CONSULTORIA DE INVESTIMENTOS LTDA;EXECUTIVE ASSESSORIA E CONSULTORIA DE INVESTIMENTOS LTDA;2001-07-17;2008-04-28;CANCELAMENTO A PEDIDO;CANCELADA;2008-04-28;PRIVADO;SEDE;RUA BENTO GONÇALVES, 2800;SOBRELOJA;;NOVO HAMBURGO;RS;93510001;;;;
21.990.572/0001-35;EXIMIA CAPITAL PARTNERS LTDA.;EXIMIA CAPITAL;2016-04-13;;;EM FUNCIONAMENTO NORMAL;2016-04-13;PRIVADO;SEDE;AV. AYRTON SENNA, 3000;BL. ITANHANGÁ, 4098;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775003;21;21285540;marcellevasconcellos@eximiacapital.com;www.eximiacapital.com.br
20.689.903/0001-39;EXITO CONSULTORIA DE INVESTIMENTOS LTDA;EXITO CONSULTORIA DE INVESTIMENTOS LTDA;2014-09-17;2016-10-14;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-10-14;PRIVADO;SEDE;QD 101 SUL  TEOT SEGURADO LT 0;SL 802 OF CENTER;CENTRO;PALMAS;TO;77015002;63;32177108;gean.lima@exitoinvestimentos.com.br;www.exitoinvestimentos.com.br
08.048.298/0001-11;EXPRESSO PLANEJAMENTO E PARTICIPAÇÕES LTDA.;--;2007-04-05;2014-09-18;CANCELAMENTO A PEDIDO;CANCELADA;2014-09-18;PRIVADO;SEDE;AV. NIEMEYER, 02;208;VIDIGAL;RIO DE JANEIRO;RJ;22450220;21;22494809;rafael.bezze@expressoplanejamento.com.br;
19.329.436/0001-57;F8A CONSULTORIA FINANCEIRA EIRELI;F8A CONSULTORIA FINANCEIRA EIRELI;2014-02-19;;;EM FUNCIONAMENTO NORMAL;2014-02-19;PRIVADO;SEDE;RUA GUAIPA 51;CJ 601;VILA LEOPOLDINA;SÃO PAULO;SP;5089001;11;22760017;fabio@f8a.com.br;www.f8a.com.br
29.767.428/0001-46;FARO CONSULTORIA E INVESTIMENTOS LTDA.;-----;2018-09-21;;;EM FUNCIONAMENTO NORMAL;2018-09-21;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 2.601;CJ 41;JARDIM PAULISTANO;SÃO PAULO;SP;1452924;11;45501391;consultoria@farocapital.com.br;https://www.faroinvestimentos.net/
03.106.021/0001-84;FASE ASSESSORIA E SERVIÇOS LTDA.;--;2008-05-29;2018-11-13;CANCELAMENTO A PEDIDO;CANCELADA;2018-11-13;PRIVADO;SEDE;AV SAGITARIO 138;CJ2513A SALA2;ALPHAVILLE;BARUERI;SP;6473073;11;992137232;flaviomilano@terra.com.br;
01.034.817/0001-43;FATOR ORE ASSET GESTORA DE RECURSOS LTDA.;FATOR ORE ASSET ASSET GESTORA DE RECURSOS LTDA.;2000-08-23;2020-03-05;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-05;PRIVADO;SEDE;R. DR. RENATO PAES DE BARROS, 1017;12º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4530001;11;30499121;mferreira@fator.com.br;
17.211.380/0001-06;FAZVALOR GESTÃO DE CAPITAL LTDA;FAZVALOR CAPITAL;2013-10-01;2014-03-20;CANCELAMENTO A PEDIDO;CANCELADA;2014-03-20;PRIVADO;SEDE;AV MEIRA JUNIOR-600- SOBRELOJA;SALA 1;JARDIM PAULISTA;RIBEIRÃO PRETO;SP;14090003;;;luisfernando@fazvalor.com.br;
56.100.142/0001-85;FCG CONS EMPRESARIAL SC LTDA;FCG;1987-03-31;1991-08-30;;CANCELADA;1991-08-30;PRIVADO;SEDE;RUA CANARIOS 988 CONJ 132;;;SÃO PAULO;SP;4521004;;;;
08.580.575/0001-32;FCL BAKER TILLY GESTÃO EMPRESARIAL LTDA;FCL BAKER TILLY GESTÃO EMPRESARIAL LTDA;2012-08-17;2020-10-13;CANCELAMENTO A PEDIDO;CANCELADA;2020-10-13;PRIVADO;SEDE;R ARANDU, 281 - CJS. 11 E 12;1º ANDAR;BROOKLIN;SÃO PAULO;SP;4562030;11;51056200;marco_fiorese@hotmail.com;www.bakertilly.com.br
36.608.262/0001-80;FH ADVISORS CONSULTORIA FINANCEIRA S.A.;FH ADVISORS;2021-05-17;;;EM FUNCIONAMENTO NORMAL;2021-05-17;PRIVADO;SEDE;RUA MARIA LUIZA SANTIAGO, 200;SALA 403;SANTA LÚCIA;BELO HORIZONTE;MG;30360740;;;luizfernando@fhadvisors.com.br;www.fhadvisors.com.br
72.770.670/0001-06;FHS COMERCIAL CONSULTORIA E SISTEMAS LTDA;FHS COMERCIAL CONSULTORIA E SISTEMAS LTDA;2003-11-05;2012-08-23;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-23;PRIVADO;SEDE;AV PAULISTA 1439 / 12 ANDAR;CONJ. 121 / 124;;SÃO PAULO;SP;1310915;11;32668780;;
18.005.720/0001-05;FIBRA ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA;FIBRA ASSET;2017-08-01;2018-11-21;CANCELAMENTO A PEDIDO;CANCELADA;2018-11-21;PRIVADO;SEDE;AVENIDA DOUTORA RUTH CARDOSO, 8.501;14º ANDAR (PARTE), EDIFÍCIO ELDORADO BUSINESS TOWER;PINHEIROS;SÃO PAULO;SP;5425070;11;38476921;anna.cristina@fibraasset.com.br;
21.891.835/0001-59;FIERE INVESTIMENTOS LTDA;FIERE INVESTIMENTOS LTDA;2023-03-09;;;EM FUNCIONAMENTO NORMAL;2023-03-09;;SEDE;RUA GUAPURUVU, 377;SALA 08;ALPHAVILLE CAMPINAS;CAMPINAS;SP;13098322;31;21041154;andre.caldas@fiere.com.br;
05.078.011/0001-08;FIGUEIREDO & MILANI CONSULTORES ASSOCIADOS LTDA;FIGUEIREDO & MILANI;2014-10-24;;;EM FUNCIONAMENTO NORMAL;2014-10-24;PRIVADO;SEDE;RUA PADRE JOÃO MANUEL, 222;8º AND CJ. 80/89;CERQUEIRA CESAR;SÃO PAULO;SP;1411000;11;30615200;jofigue@figueiredoemilani.com.br;
40.326.548/0001-40;FINANCIAL CONSULTORIA ECONOMICA LTDA;FINANCIAL CONSULTORIA ECONOMICA LTDA;2000-10-20;2007-06-27;CANCELAMENTO A PEDIDO;CANCELADA;2007-06-27;PRIVADO;SEDE;PRAIA DO FLAMENGO, 66;SALA 1620 BLOCO B;FLAMENGO;RIO DE JANEIRO;RJ;22210030;21;25579284;fce@fce.com.br;www.fce.com.br
34.221.241/0001-82;FINATTO CAPITAL CONSULTORIA E INVESTIMENTOS LTDA;FINATTO CAPITAL;2021-06-07;;;EM FUNCIONAMENTO NORMAL;2021-06-07;PRIVADO;SEDE;AV JOAO CORREA, 1000;;CENTRO;SÃO LEOPOLDO;RS;93020668;51;984219762;vagner.salvagni@gmail.com;www.finattocapital.com.br
46.359.865/0001-40;FIPECAFI FUNDACAO INSTITUTO DE PESQUISAS CONTABEIS, ATUARIAIS E FINANCEIRAS;FIPECAFI FUNDACAO INSTITUTO DE PESQUISAS CONTABEIS, ATUARIAIS E FINANCEIRAS;2000-11-22;2004-01-14;CANCELAMENTO A PEDIDO;CANCELADA;2004-01-14;PRIVADO;SEDE;RUA ALVARENGA, 2147;;;SÃO PAULO;SP;5509005;;;;
02.446.399/0001-64;FLEMING GRAPHUS P.E CONS.LTDA;FLEMING GRAPHUS PROJETOS E CONSULTORIA LTDA;1998-06-03;2000-08-23;CANCELAMENTO A PEDIDO;CANCELADA;2000-08-23;;SEDE;AV. ALMIRANTE BARROSO,52/9ºAND;;;RIO DE JANEIRO;RJ;20031000;21;22165757;;
33.898.234/0001-57;FLIP INVESTIMENTOS LTDA;FLIP INVESTIMENTOS;2021-07-14;2021-11-27;CANCELAMENTO A PEDIDO;CANCELADA;2021-11-27;PRIVADO;SEDE;AVENIDA GETULIO VARGAS, 1420/10º ANDAR;;SAVASSI;BELO HORIZONTE;MG;30112024;31;38892700;contato@flipinvestimentos.com.br;http://www.flipinvestimentos.com.br/
33.898.234/0001-57;FLIP INVESTIMENTOS LTDA;FLIP INVESTIMENTOS;2022-08-25;;;EM FUNCIONAMENTO NORMAL;2022-08-25;PRIVADO;SEDE;AVENIDA GETULIO VARGAS, 1420/10º ANDAR;;SAVASSI;BELO HORIZONTE;MG;30112024;31;38892700;contato@flipinvestimentos.com.br;
44.432.163/0001-19;FLORADA INVEST;FLORADA INVEST CONSULTORIA DE INVESTIMENTOS LTDA;2022-01-19;;;EM FUNCIONAMENTO NORMAL;2022-01-19;PRIVADO;SEDE;RUA DIOGO FEIJÓ, 1754/SALA 06;;ESTAÇÃO;FRANCA;SP;14405212;16;91192510;consultoria@floradainvest.com;http://www.floradainvest.com/
29.932.084/0001-83;FLUXO CORRET COMMOD CONS LTDA;FLUXO;1988-09-13;1990-05-08;;CANCELADA;1990-05-08;;SEDE;R SETE DE SETEMBRO 67  7 ANDAR;;;RIO DE JANEIRO;RJ;20050002;;;;
40.250.916/0001-14;FRACTAL PRIVATE MULTI FAMILY OFFICE LTDA.;FRACTAL PRIVATE;2021-04-26;;;EM FUNCIONAMENTO NORMAL;2021-04-26;PRIVADO;SEDE;RUA MINAS GERAIS, 832/SL 401;;CENTRO;DIVINÓPOLIS;MG;35500007;37;31122869;tulio.malta@fractalprivate.com;www.fractalprivate.com
05.531.513/0001-42;FRP CONSULTORIA FINANCEIRA LTDA.;FRP CONSULT;2009-02-12;2017-03-08;CANCELAMENTO A PEDIDO;CANCELADA;2017-03-08;PRIVADO;SEDE;RUA SCHILLING 84;APTO 61;VILA LEOPOLDINA;SÃO PAULO;SP;5302000;011;994868300;fabio@f8a.com.br;www.f8a.com.br
29.200.473/0001-14;FRS CONSULTORIA PATRIMONIAL E DE INVESTIMENTOS LTDA;-----;2018-11-05;;;EM FUNCIONAMENTO NORMAL;2018-11-05;PRIVADO;SEDE;AVENIDA ATLÂNTICA, 1130/14º;PARTE B SL 1001;COPACABANA;RIO DE JANEIRO;RJ;22021000;21;21083160;contato@frscp.com.br;http://frscp.com.br/
09.408.799/0001-24;FUNDAMENTAL CONSULTORIA DE VALORES MOBILIÁRIOS, FINANCEIRA E CONTÁBIL;FUNDAMENTAL CONSULTORIA DE VALORES MOBILIÁRIOS, FINANCEIRA E CONTÁBIL;2012-05-17;2016-02-25;CANCELAMENTO A PEDIDO;CANCELADA;2016-02-25;PRIVADO HOLDING;SEDE;RUA JOSE BONIFACIO, 278;5º AND,SLS.519/521;CENTRO;SÃO PAULO;SP;1003904;11;31055129;fundamental@fundamentalassessoria.com.br;
10.756.210/0001-68;GAIA MFBR HOLDING LTDA.;--;2009-05-20;2021-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-30;PRIVADO;SEDE;RUA DIOGO MOREIRA, 132;CONJ 1107;PINHEIROS;SÃO PAULO;SP;5423010;11;45017050;gaia@gaiainvestimentos.com.br;http://gaiainvestimentos.com.br/
42.298.853/0001-00;GAMA ANALYTICS - ANÁLISE DE VALORES MOBILIÁRIOS LTDA;GAMA ANALYTICS;2021-10-25;2022-03-18;CANCELAMENTO A PEDIDO;CANCELADA;2022-03-18;PRIVADO;SEDE;RUA MONTE ALEGRE, 957/10º ANDAR APT 102;;PERDIZES;SÃO PAULO;SP;5014000;12;32045641;administrativo@gamaanalytics.com.br;gamaanalytics.com.br
31.550.395/0001-20;GARDI SA;GARDI;1988-02-23;1993-12-31;ELISÃO POR INCORPORAÇÃO;CANCELADA;1993-12-31;PRIVADO;SEDE;AV. PAULISTA, 1106 / 8º ANDAR;;;SÃO PAULO;SP;1310100;;;;
10.974.264/0001-08;GELD CAPITAL CONSULTORIA DE INVESTIMENTOS LTDA;GELD CAPITAL CONSULTORIA DE INVESTIMENTOS LTDA;2014-04-10;2015-04-10;CANCELAMENTO A PEDIDO;CANCELADA;2015-04-10;PRIVADO;SEDE;AV ANITA GARIBALDI 850;CONJ 603 C;AHÚ;CURITIBA;PR;80540180;41;30186001;mario.neto@geldcapital.com.br;www.geldcapital.com.br
35.761.042/0001-20;GENEBRA PLANEJAMENTO FINANCEIRO E CONSULTORIA DE VALORES MOBILIÁRIOS LTDA.;-----;2020-10-14;;;EM FUNCIONAMENTO NORMAL;2020-10-14;PRIVADO;SEDE;AV PAULISTA;1765 - CJ 72;BELA VISTA;SÃO PAULO;SP;1311930;;;raul@genebracapital.com.br;www.genebracapital.com.br
01.580.429/0001-68;GENESIS DO BRASIL INV.MAN.LTDA;GENESIS DO BRASIL INVESTMENT MANAGEMENT LTDA;2000-03-03;2004-12-15;CANCELAMENTO A PEDIDO;CANCELADA;2004-12-15;PRIVADO;SEDE;R. JOAQUIM FLORIANO,72/CJ. 172;;;SÃO PAULO;SP;4534000;11;8292897;;
27.298.119/0001-49;GESTOR UM CONSULTORIA FINANCEIRA LTDA;GESTOR UM CONSULTORIA;2017-05-04;;;EM FUNCIONAMENTO NORMAL;2017-05-04;PRIVADO;SEDE;AV PROTASIO ALVES, 2054/502;;PETRÓPOLIS;PORTO ALEGRE;RS;90410006;51;30131821;contato@gestorum.com.br;www.gestorum.com.br
26.544.860/0001-80;GGR WEALTH MANAGEMENT CONSULTORIA E PARTICIPAÇÃO LTDA;GGR WM;2017-02-23;2018-07-02;CANCELAMENTO A PEDIDO;CANCELADA;2018-07-02;PRIVADO;SEDE;RUA JOAQUIM FLORIANO, 466;ED. CORPORATE 502;ITAIM BIBI;SÃO PAULO;SP;4534002;11;43696100;rma@grupoggr.com;http://www.grupoggr.com/planejamento-patrimonial/index.php?
35.070.686/0001-71;GHIA GESTÃO DE RECURSOS LTDA.;GHIA ASSET MANAGEMENT;2021-01-25;2021-07-28;CANCELAMENTO A PEDIDO;CANCELADA;2021-07-28;PRIVADO;SEDE;AV. RONDON PACHECO, 4.600/20º ANDAR SL 203;TORRE UBT;TIBERY;UBERLÂNDIA;MG;38405142;34;32223608;bruno@ghiaasset.com.br;www.kardinal.com.br
10.785.454/0001-79;GIC GLOBAL INVESTMENT CONSULTANTS CONSULTORIA DE INVESTIMENTOS LTDA;--;2009-09-03;2016-09-06;CANCELAMENTO A PEDIDO;CANCELADA;2016-09-06;PRIVADO;SEDE;RUA TABAPUÃ, 145;;ITAIM BIBI;SÃO PAULO;SP;4533010;11;23062752;george@gicconsultoria.com.br;
04.136.264/0001-28;GLOBAL FINANCIAL ADVISOR LTDA;GLOBAL FINANCIAL ADVISOR LTDA;2005-05-31;;;EM FUNCIONAMENTO NORMAL;2005-05-31;PRIVADO;SEDE;R. SENADOR PAULO EGÍDIO, Nº 72;CONJ. 408;CENTRO;SÃO PAULO;SP;1006010;11;31151691;mdaoud@uol.com.br;
17.308.325/0001-39;GLOBAL HEDGING CAPITAL CONSULTORIA E INVESTIMENTOS LTDA;--;2013-02-15;2017-12-22;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-22;PRIVADO;SEDE;Rua Santo Arcádio, 185;Casa;Jardim das Acácias;SÃO PAULO;SP;4707110;;;wvw1011@gmail.com;
21.782.927/0001-09;GLOBAL PC - CONSULTORIA FINANCEIRA LTDA;-----;2015-06-23;2023-02-14;CANCELAMENTO A PEDIDO;CANCELADA;2023-02-14;PRIVADO;SEDE;AV PRESIDENTE JUSCELINO KUBITSCHEK, 1726;CJ 81;ITAIM BIBI;SÃO PAULO;SP;4543000;11;30446445;despc@hotmail.com;https://globalpc-invest.com.br
21.736.352/0001-80;GLOBAL TRUST PROPERTIES LTDA. EPP.;GLOBAL TRUST PROPERTIES LTDA. EPP.;2016-08-31;2018-02-02;CANCELAMENTO A PEDIDO;CANCELADA;2018-02-02;PRIVADO;SEDE;RUA GABRIEL GARCIA MORENO, 300;PARTE;SÃO CONRADO;RIO DE JANEIRO;RJ;22610360;21;22492941;cesar@adv2w.com;
05.077.129/0001-11;GLOBALCAP CONSULTORIA LTDA;--;2011-02-04;2011-06-16;CANCELAMENTO A PEDIDO;CANCELADA;2011-06-16;PRIVADO;SEDE;PENSILVÂNIA, 114, APTO 202;BLOCO MIRANTE;;SÃO PAULO;SP;4564000;11;78695871;sandro@globalcap.com.br;
45.889.634/0001-85;GOAL WEALTH MANAGEMENT - CONSULTORIA DE VALORES MOBILIARIOS LTDA;GOAL WEALTH MANAGEMENT;2022-05-20;;;EM FUNCIONAMENTO NORMAL;2022-05-20;PRIVADO;SEDE;AV. REPUBLICA DO LIBANO, 251/TORRE C SALA 1504;;PINA;RECIFE;PE;51110160;81;981746404;rafael.felix@goalwm.com.br;
11.451.081/0001-62;GOLD PREV CONSULTORIA ATUARIAL E DE INVESTIMENTOS;GOLD PREV CONSULTORIA ATUARIAL E DE INVESTIMENTOS;2015-12-28;;;EM FUNCIONAMENTO NORMAL;2015-12-28;PRIVADO;SEDE;AV DEL REY, 111;TORRE A - SALA 309;CAIÇARAS;BELO HORIZONTE;MG;30775240;031;999944414;juliolaranjo@yahoo.com.br;
