CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CATEG_REG;SUBCATEG_REG;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;VL_PATRIM_LIQ;DT_PATRIM_LIQ;EMAIL;SITE_ADMIN
06.576.569/0001-86;INTEGRAL INVESTIMENTOS LTDA.;INTEGRAL INVESTIMENTOS LTDA.;2006-02-21;;;EM FUNCIONAMENTO NORMAL;2006-02-21;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIGADEIRO FARIA LIMA 1663;3º ANDAR;JD.PAULISTANO;SÃO PAULO;SP;1452001;11;31039999;;;invest@integralinvest.com.br;http://www.integralinvestimentos.com.br
92.922.525/0001-00;INTEGRAL PARTICIPAÇÕES E EMPREENDIMENTOS LTDA.;INTEGRAL S.A.;1998-05-12;2001-01-25;CANCELAMENTO A PEDIDO;CANCELADA;2001-01-25;;;;SEDE;R MARQUES S. VICENTE,99/3 AND.;;GAVEA;RIO DE JANEIRO;RJ;22451041;21;22620123;909301.69;1997-12-31;;
08.961.124/0001-45;INTEGRAL-TRUST GESTORA DE RECURSOS LTDA;--;2007-12-28;;;EM FUNCIONAMENTO NORMAL;2007-12-28;Gestor de Carteira;;PRIVADO;SEDE;AV BRIG FARIA LIMA 1744;CJ 21 PARTE;JARDINS;SÃO PAULO;SP;1451910;11;31032501;;;sandra@integraltrust.com;www.gestora.integraltrust.com
05.585.083/0001-41;INTER ASSET GESTÃO DE RECURSOS LTDA.;INTER ASSET GESTÃO DE RECURSOS LTDA;2004-01-02;;;EM FUNCIONAMENTO NORMAL;2004-01-02;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA BARBACENA, 1219;21º ANDAR - PARTE;SANTO AGOSTINHO;BELO HORIZONTE;MG;30190131;31;33478009;;;complianceinstitucional@bancointer.com.br;www.interasset.com.br
18.945.670/0001-46;INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;2013-12-09;;;EM FUNCIONAMENTO NORMAL;2013-12-09;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;AVENIDA BARBACENA, 1219;21 ANDAR / PARTE;SANTO AGOSTINHO;BELO HORIZONTE;MG;30190131;31;21387978;;;complianceinstitucional@bancointer.com.br;https://www.bancointer.com.br/inter-dtvm/
03.249.938/0001-38;INTER-AÇÃO ADMINISTRAÇÃO DE RECURSOS LTDA.;--;2008-12-03;;;EM FUNCIONAMENTO NORMAL;2008-12-03;Gestor de Carteira;;PRIVADO;SEDE;R DR RENATO PAES DE BARROS,714;CJ 51;ITAIM BIBI;SÃO PAULO;SP;4530001;11;30712887;;;noriko@interacaoinvest.com.br;interacaoinvest.com.br
10.685.726/0001-69;INTERATIVA INVESTIMENTOS LTDA.;--;2009-05-28;2019-03-11;CANCELAMENTO A PEDIDO;CANCELADA;2019-03-11;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIGADEIRO FARIA LIMA;1461, 4° ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;1452002;11;49359936;;;interativa@interativainvestimentos.com.br;www.interativainvestimentos.com.br
42.568.253/0001-06;INTERATLÂNTICO S/A;INTER-ATLANTICO;1992-06-26;1999-08-04;CANCELAMENTO A PEDIDO;CANCELADA;1999-08-04;;;PRIVADO;SEDE;AV RIO BRANCO 110 33ANDAR;;;RIO DE JANEIRO;RJ;20040001;021;2217033;108212875.42;1996-12-31;;
21.592.209/0001-61;INTERBANK S/A CCTVM;INTERBANK;1995-01-16;1996-09-25;;CANCELADA;1996-09-25;;;PRIVADO;SEDE;AV RIO BRANCO 181/ 30 ANDAR;SALAS 3003/ 4;CENTRO;RIO DE JANEIRO;RJ;20040007;21;25330238;5040604.39;1997-12-31;;
68.658.749/0001-64;INTERBRASIL COR DE COMMODITIES;INTERBRASIL   (ESP);1993-12-27;1997-11-11;;CANCELADA;1997-11-11;;;PRIVADO;SEDE;AV RIO BRANCO 257 16 AND PARTE;;;RIO DE JANEIRO;RJ;20040009;;;;;;
65.749.640/0001-44;INTERCAP AM COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS;INTERCAP;1992-10-22;1997-12-16;;CANCELADA;1997-12-16;;;PRIVADO;SEDE;R BOA VISTA 280 - 3 ANDAR;;;SÃO PAULO;SP;1014000;011;31110300;4365410.44;1997-12-31;;
07.959.818/0001-85;INTERCAP INVESTIMENTOS LTDA;INTERCAP INVESTIMENTOS;2006-07-18;2010-06-28;CANCELAMENTO A PEDIDO;CANCELADA;2010-06-28;;;PRIVADO;SEDE;RUA DR. FERNANDES COELHO, 85;5º ANDAR;PINHEIROS;SÃO PAULO;SP;5423040;11;38180253;;;fbispo@intercap.com.br;
64.875.610/0001-11;INTERFINANCE S.A. PARTICIPAÇÕES;BANCO INTERFINANCE;1993-07-26;1998-08-31;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;1998-08-31;;;PRIVADO;SEDE;AV BRIG FARIA LIMA,2020-CJ 73;;;SÃO PAULO;SP;1452002;11;2105511;11029132.25;1996-12-31;;
11.656.029/0001-42;INTERFLOAT HZ AGENTE AUTÔNOMO DE INVESTIMENTO - EIRELI;--;2010-07-14;2012-01-12;CANCELAMENTO A PEDIDO;CANCELADA;2012-01-12;;;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 3311;CJ 42;ITAIM BIBI;SÃO PAULO;SP;4538132;11;35138002;;;roberto.lombardi@interfloat.com.br;
13.333.516/0001-08;INTERINVEST GESTAO DE INVESTIMENTOS LTDA;INVEXA INTERINVEST;2011-07-13;;;EM FUNCIONAMENTO NORMAL;2011-07-13;Gestor de Carteira;;PRIVADO;SEDE;RUA 7 DE SETEMBRO, 777;SALA 810;CENTRO;BLUMENAU;SC;89010201;47;32327774;;;contato@invexa.com.br;invexa.com.br
29.621.281/0001-81;INTERUNION S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS E CÂMBIO;INTERUNION;1995-10-18;1997-10-16;;CANCELADA;1997-10-16;;;PRIVADO;SEDE;AV RIO BRANCO 45 22ANDAR;;;RIO DE JANEIRO;RJ;20090003;021;2537722;8045511.08;1995-12-31;;
33.798.067/0001-72;INTERVALORES DIST TIT VAL MOBL;INTERVALORES DTVM L;1994-07-12;1997-10-08;;CANCELADA;1997-10-08;;;PRIVADO;SEDE;R DO CARMO 7 18ANDAR;;;RIO DE JANEIRO;RJ;20011020;0000;15334237;376672.71;1996-12-31;;
55.230.916/0001-20;INTESA SANPAOLO BRASIL S.A.-BANCO MÚLTIPLO;INDOSUEZ W.I. CARR SECURITIES BR DTVM SA;1995-05-22;2001-11-08;CANCELAMENTO A PEDIDO;CANCELADA;2001-11-08;;;PRIVADO;SEDE;AV .JUSCELINO KUBITSCHEK 1327;21º ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543011;011;34653700;5469725.24;1998-12-31;br.compliance@intesasanpaolo.com;
35.541.359/0001-50;INTRA BLACK INVESTIMENTOS GESTÃO DE RECURSOS LTDA;INTRA BLACK INVESTIMENTOS GESTÃO DE RECURSOS;2021-12-01;;;EM FUNCIONAMENTO NORMAL;2021-12-01;Gestor de Carteira;;PRIVADO;SEDE;RUA JOAQUIM FLORIANO, 1.120;5º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4534004;11;31985151;;;compliance@intrainvestimentos.com.br;www.intrainvestimentos.com.br
15.489.568/0001-95;INTRA INVESTIMENTOS DTVM LTDA;INTRA INVESTIMENTOS DTVM;2014-05-05;;;EM FUNCIONAMENTO NORMAL;2014-05-05;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;RUA JOAQUIM FLORIANO, 1120;5º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4534004;11;31985151;;;intra@intrainvestimentos.com.br;https://intrainvestimentos.com.br/
42.621.928/0001-33;INTRABANK ASSET MANAGEMENT LTDA.;INTRABANK ASSET;2022-03-08;;;EM FUNCIONAMENTO NORMAL;2022-03-08;Gestor de Carteira;;PRIVADO;SEDE;AV MAGALHÃES DE CASTRO, 4800/TORRE 1 CJ 253 25º;;CIDADE JARDIM;SÃO PAULO;SP;5676120;11;31924506;;;intrabank@intrabank.com.br;https://www.intrabank.com.br/asset/
62.418.140/0001-31;INTRAG DTVM LTDA.;INTRAG;1993-07-29;;;EM FUNCIONAMENTO NORMAL;1993-07-29;Administrador Fiduciário;Instituição Financeira;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 3400;8º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4538132;11;50199986;1004183.38;1999-12-31;relacionamento.reguladores@itau-unibanco.com.br;http://www.intrag.com.br
07.126.120/0001-89;INVA CAPITAL CONSULTORIA LTDA ME;INVA CAPITAL;2016-01-08;2022-08-05;CANCELAMENTO A PEDIDO;CANCELADA;2022-08-05;Gestor de Carteira;;PRIVADO;SEDE;RUA VISCONDE DO RIO BRANCO;1630 CONJ 2002;CENTRO;CURITIBA;PR;80420210;04;30234580;;;controle@invacapital.com.br;www.invacapital.com.br
02.863.007/0001-62;INVESCO ASSET MANAGEMENT DO BRASIL LTDA;INVESCO ASSET MANGEMENT DO BRASIL LTDA;1999-01-07;2001-12-19;CANCELAMENTO A PEDIDO;CANCELADA;2001-12-19;;;PRIVADO;SEDE;AV. PAULISTA, 37/ 4º ANDAR;;;SÃO PAULO;SP;1311000;;;;;;
04.899.028/0001-63;INVEST MARKET GESTAO DE RECURSOS LTDA;INVEST MARKET GESTAO DE RECURSOS LTDA;2002-06-06;2005-06-09;CANCELAMENTO A PEDIDO;CANCELADA;2005-06-09;;;PRIVADO;SEDE;RUA RODRIGO SILVA, 8;1303;CENTRO;RIO DE JANEIRO;RJ;20011040;21;22406838;;;investmarket@veloxmail.com.br;
07.189.550/0001-40;INVEST TECH PARTICIPAÇÕES E INVESTIMENTOS S.A.;INVEST TECH PARTICIPAÇÕES E INVESTIMENTOS S.A.;2006-04-18;;;EM FUNCIONAMENTO NORMAL;2006-04-18;Administrador Fiduciário e Gestor de Carteira;Fundos Especiais;PRIVADO;SEDE;RUA DOS PINHEIROS, 800, TORRE 2000;15º ANDAR, CONJUNTO 151;PINHEIROS;SÃO PAULO;SP;5422001;11;31992199;;;administrativo@investtech.com.br;
09.360.323/0001-60;INVEST.PRO CONSULTORIA DE INVESTIMENTOS LTDA.;INVEST.PRO;2012-01-09;2016-07-13;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-13;Gestor de Carteira;;PRIVADO;SEDE;RUA OSCAR VIDAL 307;SALA 1202;CENTRO;JUIZ DE FORA;MG;36037720;11;984006910;;;cid@invest.pro;
02.479.270/0001-52;INVESTCENTER ASSET MANAGEMENT LTDA.;--;1998-06-03;1998-11-27;CANCELAMENTO A PEDIDO;CANCELADA;1998-11-27;;;;SEDE;av das americas 500;bl 3 sala 317;barra da tijuca;RIO DE JANEIRO;RJ;22640100;21;20250800;;;mauricio.murad@investcenterasset.com.br;
02.479.270/0001-52;INVESTCENTER ASSET MANAGEMENT LTDA.;--;2010-07-30;2015-03-18;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2015-03-18;;;PRIVADO;SEDE;av das americas 500;bl 3 sala 317;barra da tijuca;RIO DE JANEIRO;RJ;22640100;21;20250800;;;mauricio.murad@investcenterasset.com.br;
31.681.693/0001-59;INVESTCOOP ASSET MANAGEMENT LTDA.;INVESTCOOP ASSET MANAGEMENT LTDA.;2019-04-17;;;EM FUNCIONAMENTO NORMAL;2019-04-17;Gestor de Carteira;;PRIVADO;SEDE;ALAMEDA MINISTRO ROCHA AZEVEDO, 346;5º ANDAR;CERQUEIRA CÉSAR;SÃO PAULO;SP;1410901;11;950238497;;;atendimento@investcoop.com.br;www.investcoop.com.br
73.731.598/0001-62;INVESTCORP DTVM LTDA;INVESTCORP - DIST;1994-05-13;1997-07-15;LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;1997-07-15;;;PRIVADO;SEDE;AV ALMIRANTE BARROSO 52/21 AND;PARTE;CENTRO;RIO DE JANEIRO;RJ;20031000;21;5331212;0.00;1996-12-31;;
11.313.045/0001-32;INVESTFORT GESTÃO DE INVESTIMENTOS LTDA;INVESTFORT;2010-03-15;;;EM FUNCIONAMENTO NORMAL;2010-03-15;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA NILO PEÇANHA Nº 12;GRUPO 814;CENTRO;RIO DE JANEIRO;RJ;20020100;21;25335115;;;liliane@investfort.com.br;investfort@investfort.com.br
03.627.383/0001-10;INVESTIDOR GLOBAL S/C LTDA;INVESTIDOR GLOBAL S/C LTDA;2001-08-28;2007-03-29;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2007-03-29;;;PRIVADO;SEDE;ALAMEDA MIGUEL BLASI, 51;SALA 1501;CENTRO;LONDRINA;PR;86010070;43;33248880;;;info@investidorglobal.com.br;
73.630.386/0001-99;INVESTIDOR PROFISSIONAL DTVM LTDA;INVESTIDOR;1994-05-13;1995-08-31;;CANCELADA;1995-08-31;;;;SEDE;R DO CARMO 11 17ANDAR;;;RIO DE JANEIRO;RJ;20011020;021;5071101;;;;
32.319.907/0001-04;INVESTIDOR PROFISSIONAL GESTÃO DE RECURSOS LTDA;IP CAPITAL PARTNERS;1992-02-28;;;EM FUNCIONAMENTO NORMAL;1992-02-28;Gestor de Carteira;;PRIVADO;SEDE;RUA DIAS FERREIRA, 190;SALA 702B;LEBLON;RIO DE JANEIRO;RJ;22431050;21;21040500;;;compliance@ip-capitalpartners.com;www.ip-capitalpartners.com
09.544.103/0001-97;INVESTIMAGE ADMINISTRADORA DE RECURSOS LTDA.;--;2008-08-21;;;EM FUNCIONAMENTO NORMAL;2008-08-21;Gestor de Carteira;;PRIVADO;SEDE;AV. ATAULFO DE PAIVA, 319;SALA 204;LEBLON;RIO DE JANEIRO;RJ;20440032;21;25447654;;;tperonne@investimage.com.br;http://www.investimage.com.br
27.610.487/0001-80;INVESTMENT ONE PARTNERS GESTÃO DE RECURSOS LTDA.;INVESTMENT ONE PARTNERS GESTÃO DE RECURSOS LTDA.;2017-09-11;;;EM FUNCIONAMENTO NORMAL;2017-09-11;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 2.277;CJ 903/904;JARDIM PAULISTANO;SÃO PAULO;SP;1452000;11;48371800;;;mbandeira@onepartners.com.br;https://onepartners.com.br/wealth-management
48.331.232/0001-59;INVESTO ASSET LTDA.;INVESTO ASSET;2023-01-19;;;EM FUNCIONAMENTO NORMAL;2023-01-19;Gestor de Carteira;;PRIVADO;SEDE;RUA 72, Nº 325/SALA 1207;QUADRA C14 LOTES 10/13;JARDIM GOIÁS;GOIÂNIA;GO;74805480;62;37731500;;;riscompliance@trinusco.com.br;www.investo.com.br
37.788.647/0001-30;INVESTO GESTÃO DE RECURSOS LTDA.;-----;2020-11-24;;;EM FUNCIONAMENTO NORMAL;2020-11-24;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA 4055;SALA 01-102;ITAIM BIBI;SÃO PAULO;SP;453813;11;932884212;;;gabriel@investoetf.com;www.investoetf.com
32.631.378/0001-80;INVESTOR GESTÃO DE RECURSOS LTDA.;INVESTOR GESTÃO DE RECURSOS LTDA.;2021-12-28;;;EM FUNCIONAMENTO NORMAL;2021-12-28;Gestor de Carteira;;PRIVADO;SEDE;RUA MINISTRO OROZIMBO NONATO, 215;6 ANDAR;VILA DA SERRA;NOVA LIMA;MG;34006053;31;984558039;;;rodrigo@investorgestao.com;www.investorgestao.com
39.065.123/0001-46;INVESTOR SA CCTM;INVESTOR - CORRETORA;1992-12-09;1998-08-05;CANCELAMENTO A PEDIDO;CANCELADA;1998-08-05;;;PRIVADO;SEDE;RUA SETE DE SETEMBRO, 132;SALA 606;CENTRO;RIO DE JANEIRO;RJ;20020100;21;2326841;2097698.66;1998-12-31;;
05.784.884/0001-36;INVESTPORT GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;INVESTPORT GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;2004-07-15;;;EM FUNCIONAMENTO NORMAL;2004-07-15;Gestor de Carteira;;PRIVADO;;;;;;;;;;;;mfrug@investport.com.br;www.investport.com.br
15.612.854/0001-04;INVICTUS CAPITAL GESTÃO DE PATRIMÔNIO LTDA;--;2012-11-07;2015-09-14;CANCELAMENTO A PEDIDO;CANCELADA;2015-09-14;;;PRIVADO;SEDE;Rua do Rócio, 423;501;Vila Olímpia;SÃO PAULO;SP;4552000;11;39584908;;;fernando@munizfo.com;
18.356.470/0001-58;INVISTA ASSET MANAGEMENT LTDA.;INVISTA ASSET MANAGEMENT;2013-10-11;2016-07-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-07-13;;;PRIVADO;SEDE;RUA GOMES DE CARVALHO, 1507;CJ 101, BLOCO A;VILA OLIMPIA;SÃO PAULO;SP;4547005;11;98311123;;;tleomil@invista.me;
18.356.470/0001-58;INVISTA ASSET MANAGEMENT LTDA.;INVISTA ASSET MANAGEMENT;2017-01-13;;;EM FUNCIONAMENTO NORMAL;2017-01-13;Gestor de Carteira;;PRIVADO;SEDE;RUA GOMES DE CARVALHO, 1507;CJ 101, BLOCO A;VILA OLIMPIA;SÃO PAULO;SP;4547005;11;98311123;;;tleomil@invista.me;www.invista.me
19.907.396/0001-83;INVISTA GESTORA DE RECURSOS LTDA.;INVISTA GESTORA DE RECURSOS LTDA.;2016-09-23;;;EM FUNCIONAMENTO NORMAL;2019-05-27;Gestor de Carteira;;PRIVADO;SEDE;RUA TABAPUÃ, 81/11º;SL B;ITAIM BIBI;SÃO PAULO;SP;4533010;11;30586319;;;contato@invistagestora.com.br;http://invistagestora.com.br/
09.375.360/0001-42;INVISTO GESTÃO DE INVESTIMENTOS S/A;--;2008-03-27;;;EM FUNCIONAMENTO NORMAL;2008-03-27;Administrador Fiduciário e Gestor de Carteira;Fundos Especiais;PRIVADO;SEDE;RUA VIRADOURO,63;APTO 141;BAIRRO ITAIM BIBI;SÃO PAULO;SP;4538110;48;99631455;;;marcelo@invisto.com.vc;https://invisto.com.vc/
17.917.095/0001-05;INVXGLOBAL CAPITAL ASSET GESTÃO DE RECURSOS LTDA;INVXGLOVAL CAPITAL ASSET;2013-08-13;2016-07-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-07-13;Gestor de Carteira;;PRIVADO;SEDE;Rua Alameda Santos;200;CERQUEIRA CÉSAR;SÃO PAULO;SP;1418000;11;988199760;;;evelho@invxglobal.com;
17.232.615/0001-46;INX ADMINISTRADORA E GESTORA DE RECURSOS LTDA;INX ASSET;2013-02-21;2021-12-28;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-28;Gestor de Carteira;;PRIVADO;SEDE;AV. PRES. JUSCELINO KUBITSCHEK , 1545;2 ANDAR -CJ 25;ITAIM BIBI;SÃO PAULO;SP;4543011;11;30443126;;;compliance@inxasset.com.br;www.inxasset.com.br
03.931.223/0001-60;IP CAPITAL PARTNERS LTDA;IP CAPITAL PARTNERS LTDA;2001-03-23;2001-12-07;CANCELAMENTO A PEDIDO;CANCELADA;2001-12-07;;;PRIVADO;SEDE;AV ATAULFO DE PAIVA, 255/9 AND;;LEBLON;RIO DE JANEIRO;RJ;22440030;21;25408008;;;ipdco@investidorprofissional.com.br;
08.585.207/0001-87;IPANEMA GESTORA DE RECURSOS LTDA.;PAINEIRAS INVESTIMENTOS;2007-04-24;2020-11-06;CANCELAMENTO A PEDIDO;CANCELADA;2020-11-06;Gestor de Carteira;;PRIVADO;SEDE;AV. PADRE LEONEL FRANCA;105;GAVEA;RIO DE JANEIRO;RJ;22451000;21;35048500;;;controle@paineirasinvestimentos.com.br;www.paineirasinvestimentos.com.br
11.116.499/0001-13;IPORANGA INVESTIMENTOS LTDA;--;2010-01-15;;;EM FUNCIONAMENTO NORMAL;2010-01-15;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA DOUTOR CARDOSO DE MELO 1336;4 ANDAR;VILA OLIMPIA;SÃO PAULO;SP;4548004;11;31360751;;;contato@iporangainvest.com;www.iporangainvest.com
06.120.617/0001-27;IPOSEIRA CAPITAL LTDA;IPOSEIRA CAPITAL;2006-07-06;2016-03-15;CANCELAMENTO A PEDIDO;CANCELADA;2016-03-15;Gestor de Carteira;;PRIVADO;SEDE;rua visconde de itauna;116;jardim botanico;RIO DE JANEIRO;RJ;22460140;21;38753968;;;wallim@iposeira.com.br;
29.325.262/0001-08;IRB ASSET MANAGEMENT S.A.;-----;2018-07-16;;;EM FUNCIONAMENTO NORMAL;2018-07-16;Gestor de Carteira;;PRIVADO;SEDE;AV. MARECHAL CÂMARA, 171/6º;;CENTRO;RIO DE JANEIRO;RJ;20020901;21;22722772;;;contato@irbasset.com;http://www.irbasset.com
27.028.424/0001-10;IRIDIUM GESTÃO DE RECURSOS LTDA.;IRIDIUM GESTÃO DE RECURSOS;2017-07-11;;;EM FUNCIONAMENTO NORMAL;2017-07-11;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 4440;11 ANDAR - CJ. 11 - SALA IRIDIUM;ITAIM BIBI;SÃO PAULO;SP;4538132;11;52421155;;;financeiro@iridiumgestao.com.br;www.iridiumgestao.com.br
59.312.306/0001-26;IRMÃOS GUIMARÃES - CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA;IRMAOS GUIMARAES;1992-09-24;2001-07-24;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2001-07-24;;;PRIVADO;SEDE;R LIBERO BADARO 377 - 27 ANDAR;;;SÃO PAULO;SP;1009000;0000;1327125;8454578.03;1995-12-31;;
19.807.499/0001-71;IRON CAPITAL GESTÃO DE RECURSOS LTDA.;IRON CAPITAL GESTÃO DE RECURSOS LTDA.;2014-06-25;;;EM FUNCIONAMENTO NORMAL;2014-06-25;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA,;TORRE B - 8º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4538133;11;39003206;;;contato@ironcapital.com.br;www.ironcapital.com.br
62.051.263/0001-87;ISOLDI PARTICIPAÇÕES S/A;ISOLDI;1998-08-20;2008-02-15;CANCELAMENTO A PEDIDO;CANCELADA;2008-02-15;;;PRIVADO;SEDE;RUA SÃO BENTO, 365;12º E 13º ANDAR;CENTRO;SÃO PAULO;SP;1011100;11;31074021;11745483.38;1998-12-31;edsonss@isoldi.com.br;
40.310.856/0001-88;ITABORAI PARTICIPACOES SA;ITABORAI PARTICIP;1997-05-05;1998-12-11;CANCELAMENTO A PEDIDO;CANCELADA;1998-12-11;;;PRIVADO;SEDE;AV PRES WILSON 231 8 E 10 AND;;;RIO DE JANEIRO;RJ;20030021;21;22171300;;;;
47.178.207/0001-14;ITABRAS ADM CART V M EMPR LTDA;ITABRAS;1989-08-09;1996-08-12;;CANCELADA;1996-08-12;;;PRIVADO;SEDE;R BARAO DE ITAPETININGA 125/61;;;SÃO PAULO;SP;1042001;;;;;;
09.127.326/0001-59;ITACARÉ CAPITAL CONSULTORIA E ADMINISTRAÇÃO DE VALORES MOBILIÁRIOS LTDA.;--;2010-05-05;2016-07-13;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2016-07-13;Gestor de Carteira;;PRIVADO;SEDE;R. Leopoldo Couto Magalhaes Jr;110/101;Itaim;SÃO PAULO;SP;4542000;11;26780800;;;pmiranda@itacarecapital.com;
07.913.960/0001-91;ITAJUÍ GESTÃO DE PATRIMÔNIO LTDA.;ITAJUÍ GESTÃO DE PATRIMÔNIO LTDA.;2011-06-20;;;EM FUNCIONAMENTO NORMAL;2011-06-20;Gestor de Carteira;;PRIVADO;SEDE;RUA TABAPUÃ, N. 1.123;9O ANDAR, CJ. 91;ITAIM BIBI;SÃO PAULO;SP;4533014;11;37092188;;;compliance@itajui.com;www.itajui.com
04.226.005/0001-98;ITAÚ ALOCAÇÃO DE ATIVOS LTDA.;ITAÚ ALOCAÇÃO DE ATIVOS LTDA;2001-03-16;2003-04-28;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2003-04-28;;;PRIVADO;SEDE;PÇA ALFREDO E.S.ARANHA,100;TORRE CONCEIÇÃO7º;JABAQUARA;SÃO PAULO;SP;4344902;11;50294260;;;gustavo.castro@itau.com.br;
04.226.005/0001-98;ITAÚ ALOCAÇÃO DE ATIVOS LTDA.;ITAÚ ALOCAÇÃO DE ATIVOS LTDA;2003-11-05;2005-02-14;CANCELAMENTO A PEDIDO;CANCELADA;2005-02-14;;;PRIVADO;SEDE;PÇA ALFREDO E.S.ARANHA,100;TORRE CONCEIÇÃO7º;JABAQUARA;SÃO PAULO;SP;4344902;11;50294260;;;gustavo.castro@itau.com.br;
00.639.219/0001-35;ITAU ASSET MANAGEMENT LTDA;ITAU ASSET MANAG;1995-12-04;1998-08-28;CANCELAMENTO A PEDIDO;CANCELADA;1998-08-28;;;PRIVADO;SEDE;AV NOVE DE JULHO 220;;;POÁ;SP;8550085;;;;;;
61.194.353/0001-64;ITAÚ CORRETORA DE VALORES S.A.;ITAU CORRETORA;1993-07-29;2016-06-08;CANCELAMENTO A PEDIDO;CANCELADA;2016-06-08;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 3500;3ºA(PARTE);ITAIM BIBI;SÃO PAULO;SP;4538132;11;50199986;230022863.05;2001-12-31;relacionamento.reguladores@itau-unibanco.com.br;
33.311.713/0001-25;ITAÚ DTVM S.A.;ITAÚ DTVM S.A.;1990-01-02;1996-12-20;;CANCELADA;1996-12-20;;;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 3500;3º A (PARTE);ITAIM BIBI;SÃO PAULO;SP;4538132;11;50199986;32539419.19;1998-12-31;relacionamento.reguladores@itau-unibanco.com.br;
33.311.713/0001-25;ITAÚ DTVM S.A.;ITAÚ DTVM S.A.;1998-04-01;;;EM FUNCIONAMENTO NORMAL;1998-04-07;Gestor de Carteira;;;SEDE;AV. BRIG. FARIA LIMA, 3500;3º A (PARTE);ITAIM BIBI;SÃO PAULO;SP;4538132;11;50199986;42675490.68;2000-12-31;relacionamento.reguladores@itau-unibanco.com.br;www.itau.com.br
04.238.150/0001-99;ITAU GESTAO DE ATIVOS SA;ITAU GESTAO DE ATIVOS SA;1998-06-04;2005-02-10;CANCELAMENTO A PEDIDO;CANCELADA;2005-02-10;;;;SEDE;AV. NOVE DE JULHO, 220;;CENTRO;POÁ;SP;8550000;11;50291612;;;carlos.mussolini@itau.com.br;
01.443.355/0001-18;ITAU LAM ASSET MANAGEMENT S/A;ITAU LAM ASSET MANAGEMENT S/A;1996-10-23;2005-02-10;CANCELAMENTO A PEDIDO;CANCELADA;2005-02-10;;;PRIVADO;SEDE;AV ANTONIO MASSA 361;;CENTRO;POÁ;SP;8550350;11;50291612;;;carlos.mussolini@itau.com.br;
40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;2021-06-28;;;EM FUNCIONAMENTO NORMAL;2021-06-28;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIGADEIRO FARIA LIMA, 3500/4º ANDAR;;ITAIM BIBI;SÃO PAULO;SP;4538132;11;50199986;;;relacionamento.reguladores@itau-unibanco.com.br;www.itau.com.br
