TP_PARTIC;CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;CONTROLE_ACIONARIO;VL_PATRIM_LIQ;DT_PATRIM_LIQ;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL
CORRETORAS;61.780.391/0001-07;LAVRA DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS S.A.;LAVRA;1978-03-02;1995-09-22;CANCELADO NO AS400;CANCELADA;1995-09-22;1929;;;5231328.85;1994-12-31;SEDE;R HADDOCK LOBO 595/ 5 E 6 AND.;;CERQUEIRA CESAR;SÃO PAULO;SP;BRASIL;1414000;11;2392244;;;
CORRETORAS;00.581.621/0001-06;LEADERBANK CONSULTORIA E INVESTIMENTO LTDA;SURBANK;1995-03-14;1997-08-22;;CANCELADA;1997-08-22;2925;;PRIVADO;195689.53;1996-12-31;SEDE;P?A GAL OSORIO 379 CJ 1002;;;CURITIBA;PR;BRASIL;80020010;41;2254233;;;
CORRETORAS;23.581.028/0001-65;LECCA CVC LTDA;;1988-11-18;1992-07-22;CANCELADO NO AS400;CANCELADA;1992-07-22;710;;;3565.97;1989-12-31;SEDE;AV. OSWALDO CRUZ, 881;;;FORTALEZA;CE;BRASIL;60125150;;;;;
CORRETORAS;58.160.250/0001-79;LEMON BANK EMPREENDIMENTOS S.A.;PATAGON CCVM S.A.;1971-03-10;2003-05-29;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2003-05-29;1600;;;12035043.01;2002-12-31;SEDE;AV BRIG FARIA LIMA 1461/11 AND;CJ114-TORRE SUL;JARDIM PAULISTANO;SÃO PAULO;SP;BRASIL;1480900;11;34433031;;;
CORRETORAS;61.973.863/0001-30;LEROSA S/A CORRETORA DE VALORES E CÂMBIO;ESCRITÓRIO LEROSA S/A CV;1967-12-27;2022-02-28;CANCELAMENTO A PEDIDO;CANCELADA;2022-02-28;2119;;;-429450.19;2021-12-31;SEDE;RUA OSCAR FREIRE;379 - 5 ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;;1426001;11;35136600;;;contabilidade@lerosa.com.br
CORRETORAS;50.579.044/0001-96;LEVYCAM - CCV LTDA;LEVYCAM;1982-06-11;;;EM FUNCIONAMENTO NORMAL;1982-06-11;1473;;;1648959.33;2021-12-31;SEDE;AVENIDA ANGELICA 2503;10º ANDAR - SALA 105 A 108;CONSOLAÇÃO;SÃO PAULO;SP;;1227200;11;28139600;;;kneese@levycam.com.br
CORRETORAS;15.219.389/0001-38;MACRO PARTICIPAÇÕES LTDA;MACRO;1969-02-06;2016-07-27;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2016-07-27;477;;;1482816.99;2015-12-31;SEDE;R PORTUGAL 24/ 501 E 502;EDF. CARLOS KIAPPE;COMERCIO;SALVADOR;BA;BRASIL;40015001;71;21018800;71;21018823;macrocorretora@bovesba.com.br
CORRETORAS;36.864.992/0001-42;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;MAF DTVM;2020-11-06;2020-11-06;REGISTRO INDEVIDO;CANCELADA;2020-11-06;3751;;;;;SEDE;PRAIA DE BOTAFOGO, 501/ 5º ANDAR PARTE;TORRE PÃO DE AÇUCAR;BOTAFOGO;RIO DE JANEIRO;RJ;;22250040;21;45601000;21;32237738;juridico.admfiduciaria@apexgroup.com
CORRETORAS;12.102.869/0001-26;MAGNA CCV LTDA;;1990-01-01;1992-11-06;CANCELADO NO AS400;CANCELADA;1992-11-06;400;;;635395.55;1989-12-31;SEDE;RUA DAS HORTAS, 362;;CENTRO;SÃO LUÍS;MA;BRASIL;65020270;;;;;
CORRETORAS;04.169.736/0001-49;MANAUS CC LTDA;;1971-07-16;1995-06-20;CANCELADO NO AS400;CANCELADA;1995-06-20;43;;;125183.43;1994-12-31;SEDE;AV FLORIANO PEIXOTO,52-2§ANDAR;;;MANAUS;AM;BRASIL;69005000;92;2343888;;;
CORRETORAS;84.704.451/0001-08;MANCHESTER ASSESSORIA E PARTICIPAÇÕES LTDA.;--;1967-09-29;2008-06-18;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2008-06-18;2410;;;18371416.22;2007-12-31;SEDE;RUA ALEXANDRE SCHLEMM, 300;;BUCAREIN;JOINVILLE;SC;BRASIL;89202417;47;34332066;47;34332066;manchestercorr@terra.com.br
CORRETORAS;28.317.501/0001-15;MARLIN S.A. CORRETORA DE CAMBIO, TÍTULOS E VALORES MOBILIÁRIOS;MARLIN;1983-12-19;2004-12-16;FALENCIA;CANCELADA;2004-12-16;850;;;0.00;2001-12-31;SEDE;R DO OUVIDOR 121/ 17 ANDAR;;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20040030;021;2526020;;;
CORRETORAS;33.918.160/0001-73;MASSA FALIDA DA GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S. A.;GRADUAL CORRETORA;1999-07-01;2018-05-22;LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;2018-05-22;3344;Seguradoras e Corretoras;;-2024724.29;2017-12-31;SEDE;AV JUSCELINO KUBITSCHEK  1909;19 ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;BRASIL;4543907;11;33728300;11;33728386;liquidante@gradualinvestimentos.com.br
CORRETORAS;92.885.631/0001-53;MASSA FALIDA DE DIFERENCIAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A;DIFERENCIAL;1967-10-17;;;LIQUIDAÇÃO EXTRAJUDICIAL;2012-08-09;2542;;;4092876.96;2011-12-31;SEDE;AV. CARLOS GOMES;1100;AUXILIADORA;PORTO ALEGRE;RS;BRASIL;90480001;51;30217000;51;30217070;diferencial@diferencial.com.br
CORRETORAS;87.169.629/0001-48;MASTER CCVM S/A;;1973-10-31;1991-11-21;CANCELADO NO AS400;CANCELADA;1991-11-21;2429;;;21969491.40;1990-12-31;SEDE;PRACA XV NOVEMBRO 66 CJ1406;;;PORTO ALEGRE;RS;BRASIL;90020080;;;;;
CORRETORAS;33.886.862/0001-12;MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;MULTISTOCK S.A. C.C.V.;1968-05-30;2003-08-20;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2003-08-20;1198;;;15982489.91;2002-12-31;SEDE;PRAIA DE BOTAFOGO, 228;SALA 1702;BOTAFOGO;RIO DE JANEIRO;RJ;;22250906;11;45020100;;;compliance.corretora@mastercctvm.com.br
CORRETORAS;33.886.862/0001-12;MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;MULTISTOCK S.A. C.C.V.;2009-02-17;;;EM FUNCIONAMENTO NORMAL;2009-02-17;3611;;;24591418.12;2021-12-31;SEDE;PRAIA DE BOTAFOGO, 228;SALA 1702;BOTAFOGO;RIO DE JANEIRO;RJ;;22250906;11;45020100;;;compliance.corretora@mastercctvm.com.br
CORRETORAS;04.818.886/0001-36;MAXIMA CCVM LTDA;MAXIMA;1984-11-29;1998-11-18;INCORPORAÇÃO;CANCELADA;1998-11-18;94;;;4346518.38;1996-12-31;SEDE;R RODRIGO SILVA 26 21ANDAR;;;RIO DE JANEIRO;RJ;BRASIL;20011040;21;22717171;21;22528459;
CORRETORAS;92.952.357/0001-98;MBM C P ALEGRENSE DE VM S/A;MBM P ALEGRENSE;1969-03-03;2011-03-31;EXTINÇÃO;CANCELADA;2011-03-31;2577;;;1709363.82;2005-12-31;SEDE;RUA DOS ANDRADAS, 772 /6 ANDAR;;CENTRO;PORTO ALEGRE;RS;BRASIL;90020004;51;2257061;0051;2244610;corretora@mbm.org.br
CORRETORAS;68.738.053/0001-48;MEINBERG & MEINBERG CCVM LTDA;MEINBERG - CORRETORA;1993-01-06;1998-08-20;CANCELAMENTO A PEDIDO;CANCELADA;1998-08-20;2828;;PRIVADO;306152.40;1997-12-31;SEDE;R GAL VASCO ALVES 331;;;PORTO ALEGRE;RS;BRASIL;90010410;;;;;
CORRETORAS;16.683.062/0001-85;MERCANTIL DO BRASIL CORRETORA S/A CTVM;MB CORRETORA;1973-11-06;;;EM FUNCIONAMENTO NORMAL;1973-11-06;540;;;21510909.58;2021-12-31;SEDE;RUA RIO DE JANEIRO, 654;9º ANDAR;CENTRO;BELO HORIZONTE;MG;;30160912;31;30576731;31;30576170;mb_corretora_gestao@mercantil.com.br
CORRETORAS;00.787.296/0001-32;MERCOBANK EMPREENDIMENTOS, PARTICIPAÇOES E SERVIÇOS LTDA;MERCOBANK;1995-07-25;2002-11-06;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2002-11-06;3093;;PRIVADO;0.00;2002-12-31;SEDE;AV DAS AMÉRICAS, 700;BLOCO 3 / SALA 332;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;BRASIL;22640100;021;21328838;021;21328022;diretoria@mercobank.com.br
CORRETORAS;02.670.590/0001-95;MERRILL LYNCH S/A CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS;--;1998-07-13;;;EM FUNCIONAMENTO NORMAL;1998-07-13;3271;Seguradoras e Corretoras;;437939125.00;2021-12-31;SEDE;AV.BRIGADEIRO FARIA LIMA, 3400;12 ANDAR;ITAIM BIBI;SÃO PAULO;SP;;4538132;11;21884000;11;21884227;pedro.asprino@bofa.com
CORRETORAS;35.602.606/0001-81;MIDAS CCTVM S/A;MIDAS;1991-03-13;2007-01-03;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2007-01-03;2690;;;1197091.37;2006-12-31;SEDE;RUA 7 DE SETEMBRO, 54;11° ANDAR;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20050009;81;4641163;81;4641162;midasrj@midascorretora.com.br
CORRETORAS;17.830.340/0001-42;MILBANCO CCV SA;MILBANCO;1983-03-18;2000-10-13;LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;2000-10-13;671;;;5147529.88;1997-12-31;SEDE;R RIO DE JANEIRO 600  14 ANDAR;;;BELO HORIZONTE;MG;BRASIL;30160911;31;2712255;;;
CORRETORAS;07.147.382/0001-20;MILLENNIUM PARTICIPACOES SA;GAMEX MILLENNIUM CCVM S/A;1983-02-18;2009-09-04;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2009-09-04;191;;;1245499.83;2008-12-31;SEDE;R PROF JOSE A.DE CARVALHO 2432;;LAGOA REDONDA;FORTALEZA;CE;BRASIL;60410710;21;25097881;21;22327568;rogerio@millenniumcorretora.com.br
CORRETORAS;12.392.983/0001-38;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CCTVM LTDA;-----;2010-09-27;;;EM FUNCIONAMENTO NORMAL;2010-09-27;3646;;;275391234.50;2021-12-31;SEDE;AV. BRIGADEIRO FARIA LIMA, 3900;4 ANDAR;ITAIM BIBI;SÃO PAULO;SP;;4538132;11;27892000;;;hyunjun.yim@miraeinvest.com.br
CORRETORAS;62.977.723/0001-00;MISASI ADMINISTRAÇÃO DE BENS E PARTICIPAÇÕES LTDA;MISASI;1990-03-13;1997-02-05;;CANCELADA;1997-02-05;2097;;;1002311.39;1999-12-31;SEDE;R LIBERO BADARO 377 / 22 ANDAR;CJ. 2204;CENTRO;SÃO PAULO;SP;BRASIL;1009000;11;31154111;11;6056059;
CORRETORAS;89.552.277/0001-30;MONTAB CVMC LTDA;MONTAB;1978-12-13;1994-06-30;;CANCELADA;1994-06-30;2445;;;6952425.87;1993-12-31;SEDE;R GAL JOAO MANOEL 50/TERREO;;;PORTO ALEGRE;RS;BRASIL;90010030;;;;;
CORRETORAS;04.323.351/0001-94;MORGAN STANLEY CTVM S.A.;MORGAN STANLEY DEAN WITTER CTVM S.A.;2001-03-19;;;EM FUNCIONAMENTO NORMAL;2001-03-19;3468;;;1442469453.18;2021-12-31;SEDE;AV BRIG. FARIA LIMA 3.600;6, 7 E 8 ANDAR;ITAIM BIBI;SÃO PAULO;SP;;4538132;011;30486000;011;30486099;elaine.souza@morganstanley.com
CORRETORAS;00.419.291/0001-57;MULTICRED - ADMINISTRADORA DE BENS LTDA;MULTICRED CORRETORA;1992-03-18;2012-08-21;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2012-08-21;2763;;PRIVADO;2628213.35;2011-12-31;SEDE;SCS - Q.05 - BL. C - S/LOJA 10;ED. G. NOMINATO;ASA SUL;BRASÍLIA;DF;BRASIL;70300911;61;2253071;61;2259610;multicred@conectanet.com.br
CORRETORAS;05.351.887/0001-86;MÚLTIPLA CRÉDITO, FINANCIAMENTO E INVESTIMENTO LTDA.;MULTIPLA CCTVM LTDA;1976-12-30;2006-10-25;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2006-10-25;124;;;6037682.89;2005-12-31;SEDE;RUA VISCONDE DE MAUA, 3066;;DIONISIO TORRES;FORTALEZA;CE;BRASIL;60125160;85;2773397;81;2773380;beatrizpassos@multiplafinanceira.com.br
CORRETORAS;33.791.781/0001-39;MULTIPLIC CVM S/A;MULTIPLIC CVM S/A;1967-09-29;2000-12-18;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2000-12-18;1066;;;18186794.82;1999-12-31;SEDE;AV PAULISTA 1842/ 11 ANDAR;T.NORTE/CJ. 118;BELA VISTA;SÃO PAULO;SP;BRASIL;1310200;11;5346855;11;2536646;
CORRETORAS;25.674.235/0001-90;MUNDINVEST S/A CCVM;MUNDINVEST CORRETORA DE VALORES;1989-03-14;;;EM FUNCIONAMENTO NORMAL;1989-03-14;779;;;23997639.25;2021-12-31;SEDE;RUA GONÇALVES DIAS, 2132;6º ANDAR;LOURDES;BELO HORIZONTE;MG;;30140092;31;30716565;;;mundinvest@mundinvest.com.br
CORRETORAS;52.904.364/0001-08;NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES;NECTON INVESTIMENTOS;1983-08-25;2022-08-31;INCORPORAÇÃO;CANCELADA;2022-08-31;1511;;;36985851.26;2021-12-31;SEDE;AV. BRIG. FARIA LIMA, 1.355;22º ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;;1452002;11;32921400;11;32413831;juridico@necton.com.br
CORRETORAS;61.723.847/0001-99;NEON CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;MAGLIANO;1967-06-23;;;EM FUNCIONAMENTO NORMAL;1967-06-23;1813;;;2307850.37;2021-12-31;SEDE;AVENIDA FRANCISCO MATARAZZO 1350;2 ANDAR;AGUA BRANCA;SÃO PAULO;SP;;1455000;11;31230883;;;regulatorio@neon.com.br
CORRETORAS;33.764.440/0001-74;NEYCARVALHO CV S.A.;NEYCARVALHO;1989-06-22;1998-10-23;LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA;1998-10-23;2984;;PRIVADO;0.00;1995-12-31;SEDE;AV RIO BRANCO 37/ 710;;;RIO DE JANEIRO;RJ;BRASIL;20090003;21;21936;;;
CORRETORAS;07.365.471/0001-42;NORSUL CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS S.A. (atual NORSUL PARTICIPAÇÕES S/A);NORSUL;1983-12-27;2001-02-15;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2001-02-15;213;;;3063257.61;2000-12-31;SEDE;R SETE DE SETEMBRO,71 - 10 AND;;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20050005;021;2926617;21;25447892;
CORRETORAS;04.257.795/0001-79;NOVA FUTURA CTVM LTDA;NOVA FUTURA INVESTIMENTOS;2014-10-31;;;EM FUNCIONAMENTO NORMAL;2014-10-31;3697;;;31328522.48;2021-12-31;SEDE;ALAMEDA SANTOS 960;10 ANDAR;JARDIM PAULISTA;SÃO PAULO;SP;;1418002;11;32918000;11;31044456;joaquim@novafutura.com.br
CORRETORAS;62.170.824/0001-67;NOVAÇÃO ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA;NOVAÇÃO ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA;1968-07-09;2002-06-17;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2002-06-17;2151;;;0.00;2002-12-31;SEDE;AV PAULISTA 1294;20 ANDAR;CERQUERIA CESAR;SÃO PAULO;SP;BRASIL;1310915;11;32534644;11;32889408;augusto@novacao.com.br
CORRETORAS;43.060.029/0001-71;NOVINVEST CORRETORA DE VALORES MOBILIÁRIOS LTDA.;NOVINVEST;1971-05-20;;;EM FUNCIONAMENTO NORMAL;1971-05-20;1376;;;7429723.43;2021-12-31;SEDE;RUA BOA VISTA;63/10° ANDAR;CENTRO;SÃO PAULO;SP;;1014001;11;32922161;011;32424773;mauricio.leal@novinvest.com.br
CORRETORAS;61.802.955/0001-57;NOVO NORTE S/A CV;NOVO NORTE;1989-09-13;1995-02-17;CANCELADO NO AS400;CANCELADA;1995-02-17;1970;;;376083.02;2004-12-31;SEDE;AV.PRES.J.KUBITSCHEK,1830-6AND;;;SÃO PAULO;SP;BRASIL;4543900;011;2321451;;;novonorte@nnortecorretora.com.br
CORRETORAS;62.169.875/0001-79;NU INVEST CORRETORA DE VALORES S.A.;EASYNVEST;1968-07-05;;;EM FUNCIONAMENTO NORMAL;1968-07-05;2143;;;269436527.45;2021-12-31;SEDE;RUA CAPOTE VALENTE, 39;05 ANDAR;PINHEIROS;SÃO PAULO;SP;;5409000;11;30648969;11;38414510;regulatory-compliance@nubank.com.br
CORRETORAS;76.633.486/0001-67;O. FRANCO PARTICIPAÇÕES IMOBILIÁRIAS LTDA.;OLIVEIRA FRANCO;1968-05-13;2020-07-27;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2020-07-27;2313;;;1652174.89;2019-12-31;SEDE;AL.DR.CARLOS DE CARVALHO, 417;20º ANDAR -CJ 2002;CENTRO;CURITIBA;PR;BRASIL;80410180;41;32337575;41;32337575;ofranco@ofranco.com.br
CORRETORAS;76.616.978/0001-44;OMAR CAMARGO PARTICIPAÇÕES, ADM. DE BENS E CONSULTORIA LTDA.;--;1967-03-23;2015-03-26;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2015-03-26;2267;;;11295800.73;2013-12-31;SEDE;RUA XV DE NOVEMBRO, 297;1º E 2º ANDARES;CENTRO;CURITIBA;PR;BRASIL;80020922;041;30291215;41;30291215;omarcamargo@omarcamargo.com.br
CORRETORAS;35.902.295/0001-76;OPEN S.A. CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS;OPEN;1989-12-13;2001-07-02;FALENCIA;CANCELADA;2001-07-02;1309;;;0.00;1995-12-31;SEDE;AV RIO BRANCO 125 16ANDAR;;;RIO DE JANEIRO;RJ;BRASIL;20040006;21;21776;;;
CORRETORAS;08.933.202/0001-06;OPERACIONAL-CVC LTDA;;1984-05-31;1994-11-07;CANCELADO NO AS400;CANCELADA;1994-11-07;272;;;16099804.06;1990-12-31;SEDE;AV MARQUES DE OLINDA 200 S/405;;;RECIFE;PE;BRASIL;50030000;;;;;
CORRETORAS;00.087.530/0001-19;ORBIVAL EMPREENDIMENTOS E PARTICIPAÇÕES LTDA.;ORBIVAL CCVM;1994-05-18;2012-12-27;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2012-12-27;3034;;PRIVADO;310905.53;2011-12-31;SEDE;AV.BORGES DE MEDEIROS;7* ANDAR;CENTRO;PORTO ALEGRE;RS;BRASIL;90010140;51;30850540;51;30850540;orbival.poa@orbival.com.br
CORRETORAS;02.999.677/0001-00;Oryx Empreendimentos e Participações Ltda.;ORYX - CORRETORA;1999-03-01;2001-10-22;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2001-10-22;3336;Seguradoras e Corretoras;;1187345.80;2000-12-31;SEDE;R TENENTE NEGRÃO 140/ 11 ANDAR;PARTE;ITAIM BIBI;SÃO PAULO;SP;BRASIL;4530030;13;2197800;;;
CORRETORAS;10.984.417/0001-90;OTBASTO CCTVM LTDA;OTBASTO;1968-06-11;1997-01-15;;CANCELADA;1997-01-15;345;;;195586.72;1996-12-31;SEDE;AV MARQUES DE OLINDA 200 S 308;;;RECIFE;PE;BRASIL;50030000;81;2945;;;
CORRETORAS;69.577.948/0001-00;PACTO CCVM LTDA;PACTO;1993-09-08;2002-08-05;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2002-08-05;2852;;PRIVADO;0.00;2001-12-31;SEDE;PRACA PIO X, 55 GRUPO 904;;;RIO DE JANEIRO;RJ;BRASIL;20040020;21;22634573;21;22530365;
CORRETORAS;76.627.819/0001-45;PARFISA CTVC S/A;;1968-01-29;1995-07-24;CANCELADO NO AS400;CANCELADA;1995-07-24;2291;;;321870.00;1994-12-31;SEDE;R COMENDADOR ARAUJO,143-14§AND;;;CURITIBA;PR;BRASIL;80420000;41;2242175;;;
CORRETORAS;48.678.247/0001-98;PAVARINI CVM LTDA.;PAVARINI;1977-04-19;1997-06-05;;CANCELADA;1997-06-05;1430;;;265512.28;1996-12-31;SEDE;R.XV DE NOVEMBRO,111/113 SL.10;;CENTRO;SANTOS;SP;BRASIL;11010151;11;2321188;;;
CORRETORAS;06.979.363/0001-05;PAX PARTICIPAÇÕES LTDA;--;1975-10-03;2016-12-13;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2016-12-13;183;;;8056774.97;2013-12-31;SEDE;AV DOM MANUEL, 1020;;CENTRO;FORTALEZA;CE;BRASIL;60060090;85;32114200;85;32311259;pax@paxcorretora.com.br
CORRETORAS;58.242.736/0001-56;PENFIELD COMMODITY CCV LTDA;PENFIELD;1969-06-27;1992-07-13;;CANCELADA;1992-07-13;1651;;;353146768.35;1991-12-31;SEDE;RUA D PEDRO II 16 S.44 45 E 47;;;SANTOS;SP;BRASIL;11010080;;;;;
CORRETORAS;61.243.895/0001-80;PLANIBANC INVESTIMENTOS S/A;PLANIBANK;1967-07-12;2002-08-30;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2002-08-30;1740;;;0.00;2002-12-31;SEDE;RUA TENENTE NEGRÃO, N° 140;5°  ANDAR;ITAIM BIBI;SÃO PAULO;SP;BRASIL;4530030;11;31688788;11;31688788;planibanc@planibanc.com.br
CORRETORAS;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA;PLANNER CORRETORA DE VALORES S.A.;1995-09-05;;;EM FUNCIONAMENTO NORMAL;1995-09-05;3107;;PRIVADO;6908003.79;2021-12-31;SEDE;AV. BRIG. FARIA LIMA, 3900;10º ANDAR;ITAIM BIBI;SÃO PAULO;SP;;4538132;11;21722600;11;30787264;corporativo@planner.com.br
CORRETORAS;24.895.815/0001-44;PLUS CCTVM LTDA;PLUS;1988-02-17;1998-02-25;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;1998-02-25;760;;;-382369.09;1997-12-31;SEDE;R RIO DE JANEIRO,927/807;;;BELO HORIZONTE;MG;BRASIL;30160041;31;2246344;;;
CORRETORAS;52.915.386/0001-65;POLINVEST EMPREENDIMENTOS PARTICIPAÇÕES E ASSESSORIA LTDA;POLINVEST;1983-08-22;2010-05-27;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2010-05-27;1520;;;2298960.56;2009-12-31;SEDE;RUA DO TESOURO, 23 / 3 ANDAR;;CENTRO;SÃO PAULO;SP;BRASIL;1013020;11;31072175;11;31050753;polinvest@polinvest.com.br
CORRETORAS;54.099.312/0001-23;PONTUAL CCVM S.A.;PONTUAL;1984-12-28;1998-04-09;;CANCELADA;1998-04-09;1562;;;8835069.75;1996-12-31;SEDE;R.SENA MADUREIRA 827 SOBRELOJA;;;FORTALEZA;CE;BRASIL;60055080;11;25197;;;
CORRETORAS;40.161.713/0001-51;POSITIVA CONSULT S.A.;POSITIVA;2012-11-30;2019-06-21;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2019-06-21;3689;;;1388545.79;2018-12-31;SEDE;PRAIA DE BOTAFOGO 440;6º ANDAR;BOTAFOGO;RIO DE JANEIRO;RJ;BRASIL;22250908;21;37971000;21;21130725;contact@positivactvm.com.br
CORRETORAS;33.387.333/0001-74;POTENZA S/A SOC. CORRETORA;POTENZA;1967-08-04;1998-07-23;INCORPORAÇÃO;CANCELADA;1998-07-23;949;;;28173166.48;1997-12-31;SEDE;AV ANDROMEDA,S/N-PRED.22/NIV.5;;;BARUERI;SP;BRASIL;6473900;11;22774;11;4213399;
CORRETORAS;92.886.340/0001-80;PRECISA CCVM S/A;PRECISA;1968-01-19;1997-11-07;;CANCELADA;1997-11-07;2550;;;354283.15;1995-12-31;SEDE;R.DOS ANDRADAS,1121/8 ANDAR;;;PORTO ALEGRE;RS;BRASIL;90020007;51;1270;;;
CORRETORAS;40.498.305/0001-90;PREFERENCIAL SCTMC LTDA;;1991-05-02;1995-01-03;CANCELADO NO AS400;CANCELADA;1995-01-03;2704;;;18962340.19;1993-12-31;SEDE;R BAHIA 206 SL 206;;;SALVADOR;BA;BRASIL;40280000;71;3595570;;;
CORRETORAS;06.917.793/0001-94;PREVIBANK S/A DTVM;PREVIBANK;1975-07-18;2007-01-23;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2007-01-23;159;;;1305711.13;2006-12-31;SEDE;RUA DES.LEITE ALBUQUERQUE, 635;GRUPO 404;ALDEOTA;FORTALEZA;CE;BRASIL;60150150;85;40118650;85;40118650;corretora@previbank.com.br
CORRETORAS;36.092.302/0001-84;PRIME CCV EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;PRIME SA CCV;1990-03-13;2016-03-22;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2016-03-22;1406;;;10888159.80;2013-12-31;SEDE;AV NILO PECANHA,50;GR 701;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20020906;21;22219977;21;22248259;prime@primeccv.com.br
CORRETORAS;73.169.997/0001-81;PRINCIPAL CVM LTDA.;PRINCIPAL;1993-10-13;2000-12-21;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2000-12-21;2879;;PRIVADO;1991164.06;1999-12-31;SEDE;RUA DO COMERCIO, 25/SALA E;;CENTRO;SANTOS;SP;BRASIL;11010150;13;2195921;;;
CORRETORAS;03.500.902/0001-85;PROMEGA PARTICIPAÇÕES S.A.;PROMEGA S.A. CV;2000-09-12;2005-06-13;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2005-06-13;3417;Seguradoras e Corretoras;;0.00;2005-12-31;SEDE;AV DAS AMERICAS 500/ BLOCO 14;SALAS 205 E 206;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;BRASIL;22631000;21;34195632;021;34195632;ebicalho@promega.com.br
CORRETORAS;72.741.531/0001-46;PROSPECÇÃO PARTICIPAÇÕES LTDA;BONUS-BANVAL;1993-07-23;2008-10-08;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2008-10-08;2810;;PRIVADO;574315.03;2007-12-31;SEDE;RUA DR. QUEIROZ GUIMARAES, 167;JD. GUEDALA;ITAIM BIBI;SÃO PAULO;SP;BRASIL;5609000;11;37079966;11;30783432;luizmasano@bonusbanval.com.br
